AT1G07730 CDKD1;1 
AT1G07740 CDKD1;3 
AT1G07747 CDPK1 
AT1G07750 CDPK2 
AT1G07760 CDS1 
AT1G07795 CDSP32 
AT1G07800 CDT1 
AT1G07820 CEL2 
AT1G07830 CEL3 
AT1G07840 CEL5 
AT1G07850 CENP-C 
AT1G07860 CER1 
AT1G07870 ABCG12 
AT1G07885 CF9 
AT1G07901 CH1 
AT1G07920 CHR18 
AT1G07930 CHX14 
AT1G07940 CHX16 
AT1G07970 CHX2 
AT1G07985 CHX23 
AT1G07990 CHX6A 
AT1G08005 CHX6B 
AT1G08032 CIB5 
AT1G08035 CID11 
AT1G08040 CID3 
AT1G08050 CID8 
AT1G08105 CINV1 
AT1G08110 CIPK17 
AT1G08115 CIPK18 
AT1G08120 CIPK23 
AT1G08125 CIPK9 
AT1G08160 CJD1 
AT1G08165 CK1 
AT1G08170 CKL13 
AT1G08180 CKL2 
AT1G08210 CKX5 
AT1G08220 CLC-F 
AT1G08230 CLE1 
AT1G08240 CLE10 
AT1G08270 CLE11 
AT1G08280 CLE12 
AT1G08310 CLE13 
AT1G08315 CLE14 
AT1G08320 CLE17 
AT1G08340 CLE18 
AT1G08350 CLE20 
AT1G08360 CLE26 
AT1G08390 CLE3 
AT1G08400 CLE43 
AT1G08410 CLE45 
AT1G08440 CLE8 
AT1G08480 CLE9 
AT1G08530 CLH1 
AT1G08580 CLP2 
AT1G08590 CLPP3 
AT1G08592 CLPP5 
AT1G08610 CLPP6 
AT1G08670 CLPR1 
AT1G08710 CLV1 
AT1G08735 CLV2 
AT1G08740 CM3 
AT1G08750 CML23 
AT1G08760 CML38 
AT1G08790 CMPG1 
AT1G08800 CMT1 
AT1G08845 CMT3 
AT1G08870 CNGC10 
AT1G08890 CNGC7 
AT1G08900 CNGC8 
AT1G08940 CNX3 
AT1G08950 COAB 
AT1G08985 COBL6 
AT1G09010 COR314-TM2 
AT1G09026 COR413IM1 
AT1G09040 COR47 
AT1G09050 COX19-1 
AT1G09060 COX19-2 
AT1G09110 COX6B 
AT1G09130 CP12-3 
AT1G09150 CP5 
AT1G09157 CPISCA 
AT1G09160 CPK19 
AT1G09170 CPK29 
AT1G09176 CPK30 
AT1G09190 CPK33 
AT1G09195 CPN10 
AT1G09200 CPN60B 
AT1G09220 CPNIFS 
AT1G09230 CPSF30 
AT1G09245 CPSF73-I 
AT1G09250 CPuORF19 
AT1G09260 CPuORF23 
AT1G09280 CPuORF28 
AT1G09290 CPuORF29 
AT1G09300 CPuORF31 
AT1G09310 CPuORF32 
AT1G09320 CPuORF34 
AT1G09330 CPuORF45 
AT1G09360 CPuORF5 
AT1G09370 CPuORF53 
AT1G09380 CPuORF54 
AT1G09390 CPuORF55 
AT1G09400 CPuORF56 
AT1G09410 CPuORF57 
AT1G09421 EMB1444 
AT1G09440 CRB 
AT1G09450 CRC 
AT1G09460 CRK2 
AT1G09470 CRK3 
AT1G09480 CRR22 
AT1G09483 NdhL 
AT1G09486 CRR28 
AT1G09490 CRT1a 
AT1G09500 CRT1b 
AT1G09510 CRT3 
AT1G09520 CRTISO 
AT1G09550 CRU2 
AT1G09575 CRY2 
AT1G09580 CSD1 
AT1G09590 CSK 
AT1G09600 CSLA03 
AT1G09610 CSLA10 
AT1G09620 CSLD5 
AT1G09625 CSLD6 
AT1G09640 CSLE1 
AT1G09645 CSN5A 
AT1G09650 CSN5B 
AT1G09660 CSTF64 
AT1G09665 CSTF77 
AT1G09680 CTF18 
AT1G09690 CUC3 
AT1G09710 CUL2 
AT1G09720 CUL3 
AT1G09730 CUL3B 
AT1G09740 CVP2 
AT1G09750 CW14 
AT1G09780 CW7 
AT1G09794 CW9 
AT1G09800 CXE5 
AT1G09812 CXXS1 
AT1G09820 CYCA1;1 
AT1G09830 CYCA1;2 
AT1G09870 CYCA2;3 
AT1G09880 CYCA2;4 
AT1G09890 CYCA3;2 
AT1G09900 CYCA3;3 
AT1G09910 CYCA3;4 
AT1G09920 CYCB1;5 
AT1G09932 CYCB2;3 
AT1G09935 CYCB2;4 
AT1G09980 CYCB3;1 
AT1G09995 CYCD1;1 
AT1G10000 CYCT1;1 
AT1G10020 CYCT1;3 
AT1G10040 CYP51G1 
AT1G10050 CYP59 
AT1G10090 CYP702A1 
AT1G10095 CYP703A2 
AT1G10100 CYP704B1 
AT1G10110 CYP705A24 
AT1G10120 CYP705A25 
AT1G10140 CYP705A26P 
AT1G10150 CYP705A27 
AT1G10160 CYP708A1 
AT1G10180 CYP708A3 
AT1G10190 CYP71A18 
AT1G10220 CYP71B2 
AT1G10250 CYP71B27 
AT1G10260 CYP71B28 
AT1G10280 CYP71B29 
AT1G10300 CYP71B7 
AT1G10310 CYP721A1 
AT1G10320 CYP722A1 
AT1G10330 CYP72C1 
AT1G10340 CYP735A2 
AT1G10350 CYP76C5 
AT1G10380 CYP76C6 
AT1G10385 CYP77B1 
AT1G10390 CYP78A10 
AT1G10400 CYP78A5 
AT1G10410 CYP78A8 
AT1G10417 CYP79C1 
AT1G10419 CYP79C2 
AT1G10440 CYP79F1 
AT1G10455 CYP79F2 
AT1G10490 CYP86A4 
AT1G10520 CYP86A7 
AT1G10522 CYP86C1 
AT1G10530 CYP86C3 
AT1G10538 CYP86C4 
AT1G10580 CYP87A2 
AT1G10585 CYP88A3 
AT1G10586 CYP89A2 
AT1G10588 CYP89A5 
AT1G10590 CYP89A6 
AT1G10610 CYP89A7 
AT1G10620 CYP94D1 
AT1G10640 CYP96A14P 
AT1G10650 CYP96A15 
AT1G10652 CYP96A3 
AT1G10657 CYP96A7 
AT1G10660 CYP96A8 
AT1G10682 CYP97A3 
AT1G10690 CYP98A8 
AT1G10705 CYP98A9 
AT1G10717 CYTC-1 
AT1G10720 D-CDES 
AT1G10730 DA1 
AT1G10740 DABB1 
AT1G10745 DBE1 
AT1G10747 DCL1 
AT1G10750 DCP1 
AT1G10770 DCP5 
AT1G10780 DD11 
AT1G10790 DD18 
AT1G10800 DD46 
AT1G10810 DDF1 
AT1G10820 DECOY 
AT1G10850 DEG15 
AT1G10865 DEK1 
AT1G10880 DET3 
AT1G10890 DGL 
AT1G10900 DHAR1 
AT1G10910 DHAR2 
AT1G10940 DI19 
AT1G10980 DIN9 
AT1G10990 DIS1 
AT1G11010 DIS2 
AT1G11020 DL1C 
AT1G11030 DL3 
AT1G11040 DOF1 
AT1G11050 DOT5 
AT1G11055 DPL1 
AT1G11060 DR4 
AT1G11070 DRG1 
AT1G11090 DRIP1 
AT1G11100 DRL1 
AT1G11110 DRNL 
AT1G11112 DRP4A 
AT1G11120 DRP4B 
AT1G11125 DRP4C 
AT1G11145 DRP4D 
AT1G11150 DRP5A 
AT1G11160 DRS1 
AT1G11170 DRT111 
AT1G11175 DRT112 
AT1G11180 DSI-1VOC 
AT1G11185 DSS1(I) 
AT1G11200 DTA4 
AT1G11210 DUF2 
AT1G11220 DUO3 
AT1G11230 DWA2 
AT1G11240 DWF5 
AT1G11265 DYL1 
AT1G11270 DEG3 
AT1G11280 DEG4 
AT1G11300 DEG6 
AT1G11320 E1-ALPHA
AT1G11330 E12A11 
AT1G11340 EBS1 
AT1G11360 ECA1 
AT1G11362 ECA3 
AT1G11370 ECA4 
AT1G11380 ECB2 
AT1G11390 ECH2 
AT1G11410 ECHID 
AT1G11430 ECI1 
AT1G11440 ECS1 
AT1G11450 ECT11 
AT1G11460 ECT4 
AT1G11470 ECT7 
AT1G11480 ECT8 
AT1G11482 ECT9 
AT1G11490 EDA1 
AT1G11500 EDA10 
AT1G11510 EDA11 
AT1G11520 EDA16 
AT1G11540 EDA24 
AT1G11550 EDA25 
AT1G11560 EDR1 
AT1G11572 EDS16 
AT1G11590 EER4 
AT1G11592 EFE 
AT1G11593 EFS 
AT1G11595 EGL3 
AT1G11608 EGY3 
AT1G11620 EIF2-GAMMA
AT1G11630 EIF4A-2 
AT1G11640 EIF4B2 
AT1G11655 EIL3 
AT1G11660 ELF4-L2 
AT1G11670 ELF4-L4 
AT1G11684 ELF5A-1 
AT1G11690 ELF5A-3 
AT1G11700 ELF7 
AT1G11710 ELP 
AT1G11730 ELP2 
AT1G11740 EMB1135 
AT1G11765 EMB1144 
AT1G11770 EMB1444 
AT1G11780 EMB1586 
AT1G11785 EMB1687 
AT1G11800 EMB1793 
AT1G11803 EMB1968 
AT1G11806 EMB2217 
AT1G11810 EMB2279 
AT1G11820 EMB2421 
AT1G11850 EMB25 
AT1G11860 EMB2719 
AT1G11880 EMB2753 
AT1G11900 EMB2756 
AT1G11905 EMB3003 
AT1G11915 ENDO2 
AT1G11920 ENO1 
AT1G11925 ENODL18 
AT1G11930 ENODL22 
AT1G11940 ENODL6 
AT1G11950 ENODL7 
AT1G11960 ENODL8 
AT1G11970 ENT1 
AT1G11990 ENT7 
AT1G12000 EPF2 
AT1G12010 EPR1 
AT1G12015 ERD10 
AT1G12020 ERD14 
AT1G12030 ERD2 
AT1G12050 ERD2 
AT1G12064 ERD4 
AT1G12070 ERD6 
AT1G12080 ERD9 
AT1G12100 ERF1-2 
AT1G12120 ERF10 
AT1G12130 ERF11 
AT1G12150 ERF12 
AT1G12160 ERF14 
AT1G12170 ERF3 
AT1G12180 ERF8 
AT1G12190 ERG28 
AT1G12200 ERH3 
AT1G12211 ERO1 
AT1G12230 ERS2 
AT1G12244 ESC 
AT1G12250 ESL1 
